"ID_carre"	"occ1"	"occ2"	"occ3"	"occ4"	"temp1"	"temp2"	"temp3"	"temp4"	"mare1"	"mare2"	"mare3"	"mare4"	"dist_bombina"	"dist_coursEau"	"dist_planEau"	"prairie_surf"	"planEau_surf"	"nb_planEau"
59	0	0	0	0	0.39131359861402	0.239309924232167	0.708634102474415	-0.332005522603713	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	0.632741168829958	0.52489080882182	-0.986480017115687	0.0306656468390293	0.6770835950415	-0.524795217070751
60	0	0	0	0	0.39131359861402	-0.728685274909182	2.07650690081645	1.16737425689693	-1.26568258234711	-1.26568258234711	-1.26568258234711	-1.26568258234711	2.13449877004366	1.47247521894821	0.840305050034725	-0.868647354233808	-0.518067360799264	-1.26568258234711
61	0	0	0	0	-0.812728243275273	-0.406020208528732	0.936612902198087	0.0963887001107553	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	0.923220199153216	-0.649289873291311	0.380392612354252	1.84990933022611	-0.518067360799264	-0.524795217070751
62	0	0	0	0	0.39131359861402	-0.728685274909182	-0.659238695867619	1.16737425689693	0.956979513481958	0.956979513481958	0.956979513481958	0.956979513481958	1.73959917326433	1.82953601116974	1.26483960789362	-0.868647354233808	-0.518067360799264	0.956979513481958
63	0	0	0	0	-0.331111506519556	-2.01934554043098	1.39257050164543	0.0963887001107553	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	1.20990211796898	-0.889619252671192	0.322501536282584	1.87266624236951	-0.518067360799264	-0.524795217070751
64	0	0	0	0	0.872930335369738	0.561974990612616	0.25267650302707	-0.760399745318182	0.216092148205603	0.216092148205603	0.216092148205603	0.216092148205603	1.43583025266485	3.33331127071814	0.640902454676758	-0.868647354233808	-0.518067360799264	0.216092148205603
65	0	0	0	0	0.39131359861402	-0.728685274909182	-0.659238695867619	1.16737425689693	-1.26568258234711	-1.26568258234711	-1.26568258234711	-1.26568258234711	1.77946884409301	0.00989928157921887	1.43208049432289	-0.868530481312763	-0.518067360799264	-1.26568258234711
66	0	0	0	0	0.39131359861402	-0.728685274909182	-0.659238695867619	1.16737425689693	-1.26568258234711	-1.26568258234711	-1.26568258234711	-1.26568258234711	1.42633747389611	-0.539425014146223	0.849953562713337	0.0502439880600366	-0.518067360799264	-1.26568258234711
67	0	0	0	0	-0.331111506519556	-2.01934554043098	1.39257050164543	0.0963887001107553	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	1.5839176014571	-0.766021286132967	0.135963624496098	2.17262771484556	-0.518067360799264	-0.524795217070751
68	0	0	0	0	0.150505230236162	-1.69668047405053	0.936612902198087	1.16737425689693	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	1.50987392706097	-0.820953715705511	0.354663245211288	0.0685511364068967	-0.518067360799264	-0.524795217070751
69	0	0	0	0	0.872930335369738	0.561974990612616	0.25267650302707	-0.760399745318182	2.43875424403467	2.43875424403467	2.43875424403467	2.43875424403467	2.21993377896227	-0.882752698974624	0.29677216913962	-0.0502084627427429	-0.518067360799264	2.43875424403467
70	0	0	0	0	0.872930335369738	0.561974990612616	0.25267650302707	-0.760399745318182	2.43875424403467	2.43875424403467	2.43875424403467	2.43875424403467	2.26929622855968	2.77712042129613	-0.391488401934655	-0.868647354233808	-0.518067360799264	2.43875424403467
71	0	0	0	0	-0.571919874897414	-2.66467567319188	-0.659238695867619	-1.83138530210435	0.956979513481958	0.956979513481958	0.956979513481958	0.956979513481958	-0.827248205801316	-0.484492584573678	0.914276980570746	-0.868647354233808	-0.518067360799264	0.956979513481958
72	1	0	1	1	-0.812728243275273	-2.34201060681143	0.0246977033033981	-1.61718819074712	0.956979513481958	0.956979513481958	0.956979513481958	0.956979513481958	-0.787378534972634	-0.47762603087711	-0.770996567293368	-0.427416362786582	-0.515351892488683	0.956979513481958
73	1	1	0	1	-0.812728243275273	-2.34201060681143	-1.11519629531496	1.38157136825416	0.216092148205603	0.216092148205603	0.216092148205603	0.216092148205603	-0.935465883764883	-0.683622641774151	-1.01542555515152	-0.868647354233808	0.783224382602111	0.216092148205603
74	1	1	0	1	-0.812728243275273	-2.34201060681143	-1.11519629531496	1.38157136825416	0.216092148205603	0.216092148205603	0.216092148205603	0.216092148205603	-0.880407766906226	-0.704222302863855	-1.0829651439018	-0.276623376348094	1.58825934922803	0.216092148205603
75	0	0	0	0	-0.812728243275273	0.239309924232167	1.16459170192176	0.0963887001107553	-1.26568258234711	-1.26568258234711	-1.26568258234711	-1.26568258234711	-0.83104531730881	-0.148031453441846	-0.311084129612894	1.13921727033705	-0.518067360799264	-1.26568258234711
76	1	1	1	0	-0.812728243275273	0.884640056993066	-1.34317509503864	1.5957684796114	0.216092148205603	0.216092148205603	0.216092148205603	0.216092148205603	-0.800668425248861	-0.546291567842791	-1.0829651439018	-0.868647354233808	1.41052218674956	0.216092148205603
77	1	0	1	1	-1.05353661165313	0.884640056993066	0.708634102474415	0.31058581146799	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.817755427032582	-0.628690212201607	-0.922156599258278	-0.78546100795229	-0.308517902380222	-0.524795217070751
78	1	1	1	1	-0.812728243275273	0.884640056993066	-1.34317509503864	1.5957684796114	0.956979513481958	0.956979513481958	0.956979513481958	0.956979513481958	-0.893697657182454	1.06734855085069	-0.259625395326967	-0.868647354233808	-0.518067360799264	0.956979513481958
79	1	0	1	1	-1.05353661165313	0.884640056993066	0.708634102474415	0.31058581146799	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.770291533188913	-0.704222302863855	-1.028290238723	-0.0300845219729667	-0.302010667630491	-0.524795217070751
80	1	1	1	0	-2.01677008516457	0.239309924232167	-1.11519629531496	1.5957684796114	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.842436651831291	-0.148031453441846	-0.79029359265059	1.12757075830085	-0.469256268949536	-0.524795217070751
81	1	1	1	1	-2.01677008516457	0.239309924232167	-1.11519629531496	1.5957684796114	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.524795217070751	-0.846233763338784	-0.882752698974624	-1.01864172604439	-0.830766777518315	0.926083771118393	-0.524795217070751
