"ID_carre"	"pres_2022"	"pres_2024"	"temp1"	"temp2"	"temp3"	"temp4"	"mare1"	"mare2"	"mare3"	"mare4"	"dist_bombina"	"dist_foret"	"dist_coursEau"	"dist_planEau"	"foret_surf"	"prairie_surf"	"cultures_surf"	"planEau_surf"	"nb_planEau"
108	0	0	24	30	15	30	0	0	0	0	91	208	102	37	0	12548.7900755703	16957.1222661122	5091.93761482835	0
109	0	0	24	30	22	21	1	1	1	1	104	0	115	440	40000	0	0	0	1
110	0	0	24	30	22	21	3	3	3	3	9	0	113	368	40000	0	0	0	3
111	0	0	25	23	15	30	1	1	1	1	87	0	204	468	37764.9196762666	0	0	0	1
112	0	0	24	30	22	21	2	2	2	2	48	0	98	566	40000	0	0	0	2
113	1	0	24	29	18	25	1	1	1	1	10	14	6	17	10164.5916698501	6455.71280556265	5810.80758950114	8322.73027380954	1
114	0	0	32	30	25	25	2	2	2	2	102	950	13	83	0	20878.7596052219	0	1996.25857166573	2
115	0	0	25	27	18	25	1	1	1	1	62	81	153	47	2573.67499990016	36020.4598086197	0	390.755000005709	1
116	0	0	20	28	32	30	1	1	1	1	49	10	145	38	9131.92392198811	21102.1234497722	5395.86258520745	2905.59000000171	1
117	0	0	32	30	25	25	2	2	2	2	72	415	184	0	0	5324.50362899154	0	31113.0297632932	2
118	0	1	24	27	24	26	2	2	2	2	35	363	53	166	0	38939.4473105678	0	0	2
119	0	1	24	27	24	26	1	1	1	1	36	265	52	26	0	39895.9010576061	0	1706.86500000441	1
120	0	1	25	29	21	25	1	1	1	1	57	1446	60	21	0	10791.4728659689	0	25649.4741453454	1
